Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
SunJul 1,7:30pm,AUD,Low Impact Expected,AIG Manufacturing Index,53.1,,55.2
SunJul 1,7:50pm,JPY,High Impact Expected,Tankan Manufacturing Index,23,23,23
SunJul 1,7:50pm,JPY,Medium Impact Expected,Tankan Non-Manufacturing Index,22,22,22
SunJul 1,8:30pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.20%,,0.10%
SunJul 1,9:00pm,CNY,High Impact Expected,Manufacturing PMI,54.5,,55.7
SunJul 1,9:30pm,JPY,Low Impact Expected,Average Cash Earnings y/y,-0.60%,0.20%,-0.20%
SunJul 1,10:30pm,CNY,Medium Impact Expected,Caixin Manufacturing PMI,55,,54.1
MonJul 2,2:30am,AUD,Medium Impact Expected,Commodity Prices y/y,6.30%,,5.70%
MonJul 2,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,55.1,,53.3
MonJul 2,3:30am,CHF,Medium Impact Expected,Manufacturing PMI,62.8,59.6,58.9
MonJul 2,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,54,55.3,55
MonJul 2,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,55.6,55.4,55.4
MonJul 2,4:30am,GBP,Medium Impact Expected,Final Manufacturing PMI,54.3,54.7,54.7
MonJul 2,4:30am,GBP,Low Impact Expected,Index of Services 3m/3m,1.00%,0.80%,0.90%
MonJul 2,All Day,CAD,Non-Economic,Bank Holiday,,,
MonJul 2,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,56,55,55
MonJul 2,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,68,69,71
MonJul 2,7:50pm,JPY,Low Impact Expected,Monetary Base y/y,-4.10%,-4.00%,-5.70%
MonJul 2,9:00pm,CNY,Low Impact Expected,Non-Manufacturing PMI,58.5,,67.6
MonJul 2,9:30pm,AUD,High Impact Expected,Building Approvals m/m,-5.60%,-1.00%,3.40%
MonJul 2,9:30pm,AUD,High Impact Expected,Retail Sales m/m,-0.10%,0.70%,-0.30%
MonJul 2,10:00pm,NZD,Medium Impact Expected,RBNZ Statement of Intent,,,
MonJul 2,11:45pm,JPY,Low Impact Expected,10-y Bond Auction,1.88|2.7,,1.81|3.6
TueJul 3,1:45am,CHF,High Impact Expected,CPI m/m,0.10%,0.20%,0.20%
TueJul 3,3:00am,EUR,Low Impact Expected,Spanish Unemployment Change,-7.4K,,-49.9K
TueJul 3,4:30am,GBP,Low Impact Expected,Construction PMI,60.1,57.7,58
TueJul 3,5:00am,EUR,Low Impact Expected,PPI m/m,0.30%,0.30%,0.40%
TueJul 3,5:00am,EUR,Low Impact Expected,Unemployment Rate,7.00%,7.10%,7.10%
TueJul 3,9:45am,EUR,Medium Impact Expected,ECB President Trichet Speaks,,,
TueJul 3,10:00am,USD,High Impact Expected,Pending Home Sales m/m,-3.50%,0.60%,-3.40%
TueJul 3,10:00am,USD,Medium Impact Expected,Factory Orders m/m,-0.50%,-0.90%,0.50%
TueJul 3,All Day,USD,Low Impact Expected,Total Vehicle Sales,15.7M,16.2M,16.3M
TueJul 3,7:01pm,GBP,Low Impact Expected,Nationwide Consumer Confidence,95,98,99
TueJul 3,7:30pm,AUD,High Impact Expected,Cash Rate,6.25%,6.25%,6.25%
TueJul 3,7:30pm,AUD,Low Impact Expected,AIG Services Index,54.9,,56.1
TueJul 3,9:30pm,AUD,Medium Impact Expected,Trade Balance,-0.81B,-1.23B,-0.92B
WedJul 4,3:00am,GBP,High Impact Expected,Halifax HPI m/m,0.40%,0.50%,0.30%
WedJul 4,3:15am,EUR,Low Impact Expected,Spanish Services PMI,55.3,,56.2
WedJul 4,3:45am,EUR,Low Impact Expected,Italian Services PMI,57.9,56.9,56.5
WedJul 4,4:00am,EUR,Low Impact Expected,Final Services PMI,58.3,58.3,58.3
WedJul 4,4:30am,GBP,Medium Impact Expected,Final Services PMI,57.7,57.1,57.2
WedJul 4,4:30am,GBP,Low Impact Expected,Housing Equity Withdrawal q/q,13.2B,14.6B,13.3B
WedJul 4,5:00am,EUR,Low Impact Expected,Retail Sales m/m,-0.50%,0.00%,-0.10%
WedJul 4,5:14am,EUR,Low Impact Expected,German 10-y Bond Auction,4.59|1.8,,4.36|1.7
WedJul 4,5:30am,GBP,Low Impact Expected,BRC Shop Price Index y/y,0.50%,,1.80%
