Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
MonJul 1,1:00am,JPY,Low Impact Expected,Consumer Confidence,38.7,39.2,39.4
MonJul 1,2:30am,AUD,Low Impact Expected,Commodity Prices y/y,13.00%,,11.50%
MonJul 1,2:30am,CHF,Low Impact Expected,Retail Sales y/y,-1.70%,0.60%,-0.80%
MonJul 1,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,47.9,49.6,50.1
MonJul 1,3:30am,CHF,Low Impact Expected,Manufacturing PMI,47.7,48.9,48.6
MonJul 1,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,48.4,48.7,49.7
MonJul 1,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,51.9,52,52
MonJul 1,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,45,45.4,45.4
MonJul 1,3:55am,EUR,Low Impact Expected,German Unemployment Change,-1K,1K,60K
MonJul 1,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,47.6,47.8,47.8
MonJul 1,4:00am,EUR,Low Impact Expected,M3 Money Supply y/y,4.80%,4.60%,4.70%
MonJul 1,4:00am,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,9.90%,10.30%,10.10%
MonJul 1,4:00am,EUR,Low Impact Expected,Private Loans y/y,3.30%,3.50%,3.30%
MonJul 1,4:30am,GBP,Medium Impact Expected,Final Manufacturing PMI,48,49.5,49.4
MonJul 1,4:30am,GBP,Low Impact Expected,M4 Money Supply m/m,-0.10%,0.60%,0.50%
MonJul 1,4:30am,GBP,Low Impact Expected,Mortgage Approvals,65K,66K,66K
MonJul 1,4:30am,GBP,Low Impact Expected,Net Lending to Individuals m/m,3.9B,5.1B,5.1B
MonJul 1,5:00am,EUR,Low Impact Expected,Unemployment Rate,7.50%,7.60%,7.60%
MonJul 1,All Day,All,High Impact Expected,OPEC Meetings,,,
MonJul 1,All Day,CAD,Non-Economic,Bank Holiday,,,
MonJul 1,9:45am,USD,Low Impact Expected,Final Manufacturing PMI,50.6,50.1,50.1
MonJul 1,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,51.7,51.3,52.1
MonJul 1,10:00am,USD,Low Impact Expected,Construction Spending m/m,-0.80%,0.10%,0.40%
MonJul 1,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,47.9,52.9,53.2
