Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
TueSep 1,12:30am,AUD,High Impact Expected,Cash Rate,0.25%,0.25%,0.25%
TueSep 1,12:30am,AUD,High Impact Expected,RBA Rate Statement,,,
TueSep 1,2:30am,AUD,Low Impact Expected,Commodity Prices y/y,-9.20%,,-13.70%
TueSep 1,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,49.9,52.5,53.5
TueSep 1,3:30am,CHF,Low Impact Expected,Manufacturing PMI,51.8,51.4,49.2
TueSep 1,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,53.1,52,51.9
TueSep 1,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,49.8,49,49
TueSep 1,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,52.2,53,53
TueSep 1,3:55am,EUR,Low Impact Expected,German Unemployment Change,-9K,-3K,-17K
TueSep 1,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,51.7,51.7,51.7
TueSep 1,4:00am,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,9.70%,9.10%,9.30%
TueSep 1,4:30am,GBP,Low Impact Expected,Final Manufacturing PMI,55.2,55.3,55.3
TueSep 1,4:30am,GBP,Low Impact Expected,M4 Money Supply m/m,0.90%,1.20%,1.10%
TueSep 1,4:30am,GBP,Low Impact Expected,Mortgage Approvals,66K,55K,40K
TueSep 1,4:32am,GBP,Low Impact Expected,Net Lending to Individuals m/m,3.9B,3.8B,2.0B
TueSep 1,5:00am,EUR,Low Impact Expected,CPI Flash Estimate y/y,-0.20%,0.20%,0.40%
TueSep 1,5:00am,EUR,Low Impact Expected,Core CPI Flash Estimate y/y,0.40%,0.90%,1.20%
TueSep 1,5:00am,EUR,Low Impact Expected,Unemployment Rate,7.90%,8.00%,7.70%
TueSep 1,9:30am,CAD,Medium Impact Expected,Manufacturing PMI,55.1,,52.9
TueSep 1,9:45am,USD,Low Impact Expected,Final Manufacturing PMI,53.1,53.6,53.6
TueSep 1,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,56,54.6,54.2
TueSep 1,10:00am,USD,Low Impact Expected,Construction Spending m/m,0.10%,1.00%,-0.50%
TueSep 1,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,59.5,60,53.2
TueSep 1,All Day,USD,Low Impact Expected,Wards Total Vehicle Sales,15.2M,15.0M,14.5M
TueSep 1,11:08am,NZD,Low Impact Expected,GDT Price Index,-1.00%,,-1.70%
TueSep 1,1:00pm,USD,Low Impact Expected,FOMC Member Brainard Speaks,,,
TueSep 1,6:45pm,NZD,Low Impact Expected,Overseas Trade Index q/q,2.50%,0.60%,-0.60%
TueSep 1,7:01pm,GBP,Low Impact Expected,BRC Shop Price Index y/y,-1.60%,,-1.30%
TueSep 1,7:50pm,JPY,Low Impact Expected,Monetary Base y/y,11.50%,10.10%,9.80%
TueSep 1,8:30pm,NZD,High Impact Expected,RBNZ Gov Orr Speaks,,,
TueSep 1,9:30pm,AUD,High Impact Expected,GDP q/q,-7.00%,-6.00%,-0.30%
WedSep 2,1:57am,GBP,Low Impact Expected,Nationwide HPI m/m,2.00%,0.50%,1.80%
WedSep 2,2:00am,EUR,Low Impact Expected,German Retail Sales m/m,-0.90%,0.50%,-1.90%
WedSep 2,3:00am,EUR,Low Impact Expected,Spanish Unemployment Change,29.8K,10.1K,-89.8K
WedSep 2,4:30am,GBP,Low Impact Expected,HPI y/y,2.90%,2.80%,2.70%
WedSep 2,5:00am,EUR,Low Impact Expected,PPI m/m,0.60%,0.50%,0.70%
WedSep 2,8:15am,USD,High Impact Expected,ADP Non-Farm Employment Change,428K,1250K,212K
WedSep 2,8:30am,CAD,Low Impact Expected,Labor Productivity q/q,9.80%,6.50%,4.50%
WedSep 2,9:30am,GBP,High Impact Expected,BOE Gov Bailey Speaks,,,
WedSep 2,10:00am,USD,Low Impact Expected,FOMC Member Williams Speaks,,,
WedSep 2,10:00am,USD,Low Impact Expected,Factory Orders m/m,6.40%,6.00%,6.40%
WedSep 2,10:30am,GBP,Medium Impact Expected,MPC Member Broadbent Speaks,,,
WedSep 2,10:30am,USD,Medium Impact Expected,Crude Oil Inventories,-9.4M,-2.0M,-4.7M
WedSep 2,12:00pm,USD,Low Impact Expected,FOMC Member Mester Speaks,,,
WedSep 2,2:00pm,USD,Low Impact Expected,Beige Book,,,
WedSep 2,6:30pm,AUD,Low Impact Expected,AIG Construction Index,37.9,,42.7
WedSep 2,9:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-0.90%,,2.90%
