Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
ThuFeb 1,12:30am,AUD,Low Impact Expected,Commodity Prices y/y,-0.60%,,-6.00%
ThuFeb 1,1:45am,CHF,Low Impact Expected,SECO Consumer Climate,5,2,-2
ThuFeb 1,1:55am,GBP,Low Impact Expected,Nationwide HPI m/m,0.60%,0.20%,0.60%
ThuFeb 1,3:15am,CHF,Low Impact Expected,Retail Sales y/y,0.60%,1.50%,0.30%
ThuFeb 1,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,55.2,55.7,55.8
ThuFeb 1,3:30am,CHF,Low Impact Expected,Manufacturing PMI,65.3,64.1,65.2
ThuFeb 1,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,59,57.7,57.4
ThuFeb 1,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,58.4,58.1,58.1
ThuFeb 1,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,61.1,61.2,61.2
ThuFeb 1,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,59.6,59.6,59.6
ThuFeb 1,4:30am,GBP,High Impact Expected,Final Manufacturing PMI,55.3,56.5,56.2
ThuFeb 1,5:00am,EUR,Low Impact Expected,French 10-y Bond Auction,0.98|2.0,,0.79|1.4
ThuFeb 1,7:30am,USD,Low Impact Expected,Challenger Job Cuts y/y,-2.80%,,-3.60%
ThuFeb 1,8:30am,USD,Medium Impact Expected,Prelim Nonfarm Productivity q/q,-0.10%,0.80%,2.70%
ThuFeb 1,8:30am,USD,Medium Impact Expected,Prelim Unit Labor Costs q/q,2.00%,0.90%,-0.20%
ThuFeb 1,8:30am,USD,Medium Impact Expected,Unemployment Claims,230K,237K,231K
ThuFeb 1,9:30am,CAD,Low Impact Expected,Manufacturing PMI,55.9,,54.7
ThuFeb 1,9:45am,USD,Low Impact Expected,Final Manufacturing PMI,55.5,55.5,55.5
ThuFeb 1,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,59.1,58.7,59.7
ThuFeb 1,10:00am,USD,Low Impact Expected,Construction Spending m/m,0.70%,0.40%,0.60%
ThuFeb 1,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,72.7,68.3,69
ThuFeb 1,All Day,USD,Low Impact Expected,Wards Total Vehicle Sales,17.1M,17.2M,17.8M
ThuFeb 1,10:30am,USD,Low Impact Expected,Natural Gas Storage,-99B,-102B,-288B
ThuFeb 1,All Day,USD,Low Impact Expected,Total Vehicle Sales,17.2M,17.2M,17.9M
ThuFeb 1,4:45pm,NZD,Low Impact Expected,Building Consents m/m,-9.60%,,9.60%
ThuFeb 1,4:45pm,NZD,Low Impact Expected,Visitor Arrivals m/m,-2.80%,,2.50%
ThuFeb 1,6:50pm,JPY,Low Impact Expected,Monetary Base y/y,9.70%,11.00%,11.20%
ThuFeb 1,7:30pm,AUD,Low Impact Expected,PPI q/q,0.60%,0.40%,0.20%
FriFeb 2,3:00am,EUR,Medium Impact Expected,Spanish Unemployment Change,63.7K,50.3K,-61.5K
FriFeb 2,4:30am,GBP,High Impact Expected,Construction PMI,50.2,52,52.2
FriFeb 2,5:00am,EUR,Low Impact Expected,PPI m/m,0.20%,0.30%,0.60%
FriFeb 2,5:00am,EUR,Low Impact Expected,Italian Prelim CPI m/m,0.20%,0.30%,0.40%
FriFeb 2,8:30am,USD,High Impact Expected,Average Hourly Earnings m/m,0.30%,0.20%,0.40%
FriFeb 2,8:30am,USD,High Impact Expected,Non-Farm Employment Change,200K,181K,160K
FriFeb 2,8:30am,USD,High Impact Expected,Unemployment Rate,4.10%,4.10%,4.10%
FriFeb 2,10:00am,USD,Medium Impact Expected,Revised UoM Consumer Sentiment,95.7,95,94.4
FriFeb 2,10:00am,USD,Low Impact Expected,Factory Orders m/m,1.70%,1.50%,1.70%
FriFeb 2,10:00am,USD,Low Impact Expected,Revised UoM Inflation Expectations,2.70%,,2.80%
FriFeb 2,2:30pm,USD,Medium Impact Expected,FOMC Member Williams Speaks,,,
SunFeb 4,5:30pm,AUD,Low Impact Expected,AIG Services Index,54.9,,52
SunFeb 4,7:00pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.30%,,0.10%
SunFeb 4,7:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,0.70%,,-1.90%
SunFeb 4,7:30pm,AUD,Low Impact Expected,ANZ Job Advertisements m/m,6.20%,,-2.70%
SunFeb 4,8:45pm,CNY,Medium Impact Expected,Caixin Services PMI,54.7,53.6,53.9
MonFeb 5,3:15am,EUR,Low Impact Expected,Spanish Services PMI,56.9,55.2,54.6
MonFeb 5,3:45am,EUR,Low Impact Expected,Italian Services PMI,57.7,56.1,55.4
MonFeb 5,3:50am,EUR,Low Impact Expected,French Final Services PMI,59.2,59.3,59.3
MonFeb 5,3:55am,EUR,Low Impact Expected,German Final Services PMI,57.3,57,57
