Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
ThuMar 1,12:00am,JPY,Low Impact Expected,Consumer Confidence,44.3,44.9,44.7
ThuMar 1,12:30am,AUD,Low Impact Expected,Commodity Prices y/y,-1.00%,,-1.10%
ThuMar 1,1:45am,CHF,Low Impact Expected,GDP q/q,0.60%,0.60%,0.70%
ThuMar 1,2:00am,GBP,Low Impact Expected,Nationwide HPI m/m,-0.30%,0.20%,0.80%
ThuMar 1,3:15am,CHF,Low Impact Expected,Retail Sales y/y,-1.40%,1.10%,0.70%
ThuMar 1,3:15am,EUR,Low Impact Expected,Spanish Manufacturing PMI,56,54.8,55.2
ThuMar 1,3:30am,CHF,Low Impact Expected,Manufacturing PMI,65.5,64.1,65.3
ThuMar 1,3:45am,EUR,Low Impact Expected,Italian Manufacturing PMI,56.8,57.9,59
ThuMar 1,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,55.9,56.1,56.1
ThuMar 1,3:55am,EUR,Low Impact Expected,German Final Manufacturing PMI,60.6,60.3,60.3
ThuMar 1,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,58.6,58.5,58.5
ThuMar 1,4:00am,EUR,Low Impact Expected,Italian Monthly Unemployment Rate,11.10%,10.80%,10.90%
ThuMar 1,4:30am,GBP,High Impact Expected,Final Manufacturing PMI,55.2,55.1,55.3
ThuMar 1,4:30am,GBP,Medium Impact Expected,Net Lending to Individuals m/m,4.7B,5.4B,5.1B
ThuMar 1,4:30am,GBP,Low Impact Expected,M4 Money Supply m/m,1.50%,0.40%,-0.60%
ThuMar 1,4:30am,GBP,Low Impact Expected,Mortgage Approvals,67K,62K,62K
ThuMar 1,4:49am,EUR,Low Impact Expected,Spanish 10-y Bond Auction,1.50|2.0,,1.58|2.5
ThuMar 1,5:00am,EUR,Low Impact Expected,Unemployment Rate,8.60%,8.60%,8.60%
ThuMar 1,5:03am,EUR,Low Impact Expected,French 10-y Bond Auction,0.90|1.9,,0.98|2.0
ThuMar 1,8:30am,CAD,Medium Impact Expected,Current Account,-16.3B,-17.8B,-18.6B
ThuMar 1,8:30am,USD,Medium Impact Expected,Core PCE Price Index m/m,0.30%,0.30%,0.20%
ThuMar 1,8:30am,USD,Medium Impact Expected,Personal Spending m/m,0.20%,0.20%,0.40%
ThuMar 1,8:30am,USD,Medium Impact Expected,Unemployment Claims,210K,226K,220K
ThuMar 1,8:30am,USD,Low Impact Expected,Personal Income m/m,0.40%,0.30%,0.40%
ThuMar 1,9:30am,CAD,Low Impact Expected,Manufacturing PMI,55.6,,55.9
ThuMar 1,9:45am,USD,Low Impact Expected,Final Manufacturing PMI,55.3,55.9,55.9
ThuMar 1,10:00am,USD,High Impact Expected,Fed Chair Powell Testifies,,,
ThuMar 1,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,60.8,58.7,59.1
ThuMar 1,10:00am,USD,Low Impact Expected,Construction Spending m/m,0.00%,0.30%,0.80%
ThuMar 1,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,74.2,70.5,72.7
ThuMar 1,All Day,USD,Low Impact Expected,Wards Total Vehicle Sales,17.0M,17.2M,17.1M
ThuMar 1,10:34am,USD,Low Impact Expected,Natural Gas Storage,-78B,-71B,-124B
ThuMar 1,11:00am,USD,High Impact Expected,President Trump Speaks,,,
ThuMar 1,All Day,USD,Low Impact Expected,Total Vehicle Sales,17.1M,17.2M,17.2M
ThuMar 1,4:45pm,NZD,Low Impact Expected,Building Consents m/m,0.20%,,-9.50%
ThuMar 1,6:30pm,JPY,Low Impact Expected,Tokyo Core CPI y/y,0.90%,0.80%,0.70%
ThuMar 1,6:30pm,JPY,Low Impact Expected,Unemployment Rate,2.40%,2.80%,2.80%
ThuMar 1,6:50pm,JPY,Low Impact Expected,Monetary Base y/y,9.40%,9.20%,9.70%
ThuMar 1,7:30pm,AUD,Low Impact Expected,HIA New Home Sales m/m,-2.10%,,0.70%
FriMar 2,2:00am,EUR,Medium Impact Expected,German Retail Sales m/m,-0.70%,0.80%,-1.10%
FriMar 2,2:00am,EUR,Low Impact Expected,German Import Prices m/m,0.50%,0.40%,0.30%
FriMar 2,3:00am,EUR,Medium Impact Expected,Spanish Unemployment Change,-6.3K,-7.2K,63.7K
FriMar 2,4:30am,GBP,High Impact Expected,Construction PMI,51.4,50.5,50.2
FriMar 2,5:00am,EUR,Low Impact Expected,PPI m/m,0.40%,0.40%,0.10%
FriMar 2,5:00am,GBP,High Impact Expected,BOE Gov Carney Speaks,,,
FriMar 2,8:30am,CAD,High Impact Expected,GDP m/m,0.10%,0.10%,0.40%
FriMar 2,8:43am,GBP,High Impact Expected,Prime Minister May Speaks,,,
FriMar 2,10:00am,USD,Medium Impact Expected,Revised UoM Consumer Sentiment,99.7,99.4,99.9
FriMar 2,10:00am,USD,Low Impact Expected,Revised UoM Inflation Expectations,2.70%,,2.70%
