Date,Time,Currency,Impact,Description,Actual,Forecast,Previous
FriMay 1,All Day,CHF,Non-Economic,Bank Holiday,,,
FriMay 1,All Day,EUR,Non-Economic,Italian Bank Holiday,,,
FriMay 1,All Day,EUR,Non-Economic,French Bank Holiday,,,
FriMay 1,All Day,EUR,Non-Economic,German Bank Holiday,,,
FriMay 1,2:30am,AUD,Low Impact Expected,Commodity Prices y/y,-20.50%,,-19.20%
FriMay 1,4:30am,GBP,High Impact Expected,Final Manufacturing PMI,51.9,54.6,54
FriMay 1,4:30am,GBP,Medium Impact Expected,Net Lending to Individuals m/m,3.1B,2.6B,2.6B
FriMay 1,4:30am,GBP,Low Impact Expected,M4 Money Supply m/m,0.30%,0.10%,-0.20%
FriMay 1,4:30am,GBP,Low Impact Expected,Mortgage Approvals,61K,63K,62K
FriMay 1,9:30am,CAD,Low Impact Expected,Manufacturing PMI,49,,48.9
FriMay 1,9:45am,USD,Low Impact Expected,Final Manufacturing PMI,54.1,54.2,54.2
FriMay 1,10:00am,USD,High Impact Expected,ISM Manufacturing PMI,51.5,52.1,51.5
FriMay 1,10:00am,USD,Medium Impact Expected,Revised UoM Consumer Sentiment,95.9,96.1,95.9
FriMay 1,10:00am,USD,Low Impact Expected,Construction Spending m/m,-0.60%,0.50%,0.00%
FriMay 1,10:00am,USD,Low Impact Expected,ISM Manufacturing Prices,40.5,42.3,39
FriMay 1,10:00am,USD,Low Impact Expected,Revised UoM Inflation Expectations,2.60%,,2.50%
FriMay 1,All Day,USD,Low Impact Expected,Total Vehicle Sales,16.5M,16.9M,17.2M
SunMay 3,All Day,JPY,Non-Economic,Bank Holiday,,,
SunMay 3,8:30pm,AUD,Low Impact Expected,MI Inflation Gauge m/m,0.30%,,0.40%
SunMay 3,9:00pm,NZD,Low Impact Expected,ANZ Commodity Prices m/m,-7.40%,,4.60%
SunMay 3,9:30pm,AUD,High Impact Expected,Building Approvals m/m,2.80%,-1.70%,-1.60%
SunMay 3,9:30pm,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,2.30%,,-1.30%
SunMay 3,9:45pm,CNY,High Impact Expected,Caixin Manufacturing PMI,48.9,49.4,49.2
MonMay 4,All Day,GBP,Non-Economic,Bank Holiday,,,
MonMay 4,3:15am,EUR,Medium Impact Expected,Spanish Manufacturing PMI,54.2,54.6,54.3
MonMay 4,3:30am,CHF,Low Impact Expected,Manufacturing PMI,47.9,48.2,47.9
MonMay 4,3:45am,EUR,Medium Impact Expected,Italian Manufacturing PMI,53.8,53.4,53.3
MonMay 4,3:50am,EUR,Low Impact Expected,French Final Manufacturing PMI,48,48.4,48.4
MonMay 4,3:55am,EUR,Medium Impact Expected,German Final Manufacturing PMI,52.1,51.9,51.9
MonMay 4,4:00am,EUR,Low Impact Expected,Final Manufacturing PMI,52,51.9,51.9
MonMay 4,4:30am,EUR,Low Impact Expected,Sentix Investor Confidence,19.6,19.5,20
MonMay 4,10:00am,USD,Medium Impact Expected,Factory Orders m/m,2.10%,2.10%,-0.10%
MonMay 4,12:25pm,USD,Medium Impact Expected,FOMC Member Evans Speaks,,,
MonMay 4,2:00pm,USD,Low Impact Expected,Loan Officer Survey,,,
MonMay 4,7:13pm,AUD,Low Impact Expected,AIG Services Index,49.7,,50.2
MonMay 4,All Day,JPY,Non-Economic,Bank Holiday,,,
MonMay 4,9:30pm,AUD,High Impact Expected,Trade Balance,-1.32B,-0.98B,-1.61B
TueMay 5,12:30am,AUD,High Impact Expected,Cash Rate,2.00%,2.00%,2.25%
TueMay 5,12:30am,AUD,High Impact Expected,RBA Rate Statement,,,
TueMay 5,2:45am,EUR,Low Impact Expected,French Gov Budget Balance,-26.3B,,-23.4B
TueMay 5,3:00am,EUR,High Impact Expected,Spanish Unemployment Change,-118.9K,-64.8K,-60.2K
